pulseheight,counts_ch_A,counts_ch_B
3.0742871435717865,0,0
3.2228614307153585,0,0
3.37143571785893,0,0
3.5200100050025016,0,0
3.6685842921460736,0,0
3.8171585792896456,0,0
3.965732866433217,0,0
4.114307153576789,0,0
4.262881440720362,0,0
4.411455727863933,0,0
4.560030015007504,0,0
4.708604302151077,0,0
4.857178589294648,0,0
5.005752876438221,0,0
5.154327163581792,0,0
5.302901450725363,0,0
5.451475737868936,0,0
5.600050025012507,0,0
5.748624312156079,0,0
5.897198599299651,0,0
6.045772886443222,0,0
6.194347173586795,0,0
6.342921460730366,0,0
6.491495747873938,0,0
6.64007003501751,0,0
6.7886443221610815,0,0
6.937218609304654,0,0
7.0857928964482255,0,0
7.2343671835917975,0,0
7.3829414707353695,0,0
7.531515757878941,0,0
7.680090045022513,0,0
7.828664332166085,0,0
7.977238619309657,0,0
8.125812906453229,0,0
8.2743871935968,0,0
8.422961480740373,0,0
8.571535767883944,0,0
8.720110055027515,0,0
8.868684342171086,0,0
9.017258629314659,0,0
9.165832916458232,0,0
9.314407203601803,0,0
9.462981490745374,2,0
9.611555777888945,11,0
9.760130065032518,282,0
9.908704352176091,2056,0
10.057278639319662,2679,0
10.205852926463233,2749,0
10.354427213606805,2808,0
10.503001500750377,2780,0
10.65157578789395,2849,0
10.800150075037521,2862,0
10.948724362181093,2755,0
11.097298649324664,2846,0
11.245872936468235,2800,0
11.394447223611808,2866,0
11.54302151075538,2967,0
11.691595797898952,2911,0
11.840170085042523,2917,0
11.988744372186094,2803,0
12.137318659329667,3011,0
12.28589294647324,2983,0
12.434467233616811,2984,0
12.583041520760382,3065,0
12.731615807903953,2871,0
12.880190095047526,2974,0
13.028764382191099,2922,0
13.17733866933467,2970,0
13.325912956478241,2965,0
13.474487243621812,2987,0
13.623061530765385,2972,0
13.771635817908958,2986,0
13.92021010505253,3003,0
14.0687843921961,2888,0
14.217358679339672,3089,0
14.365932966483244,3108,0
14.514507253626816,3067,0
14.663081540770389,3181,0
14.81165582791396,3157,0
14.96023011505753,3165,0
15.108804402201104,3417,0
15.257378689344675,3492,0
15.405952976488248,3570,0
15.554527263631819,3783,0
15.70310155077539,3766,0
15.851675837918963,3825,0
16.000250125062536,4109,0
16.148824412206107,4019,0
16.297398699349678,4121,0
16.445972986493253,3969,0
16.59454727363682,4089,0
16.743121560780395,4204,0
16.891695847923966,4176,0
17.040270135067537,4108,0
17.188844422211112,4076,0
17.33741870935468,3965,0
17.485992996498254,3869,0
17.634567283641825,3798,0
17.783141570785396,3841,0
17.93171585792897,3727,0
18.08029014507254,3709,0
18.228864432216113,3761,0
18.377438719359684,3689,0
18.526013006503256,3626,0
18.67458729364683,3437,0
18.823161580790398,3616,0
18.971735867933972,3470,0
19.12031015507754,3634,0
19.268884442221115,3416,0
19.417458729364686,3488,0
19.566033016508257,3434,0
19.71460730365183,3558,0
19.8631815907954,4144,0
20.011755877938974,3525,0
20.160330165082545,3411,0
20.308904452226116,3352,0
20.45747873936969,3306,0
20.60605302651326,3280,0
20.754627313656833,3279,0
20.903201600800404,3204,0
21.051775887943975,3243,0
21.20035017508755,3127,0
21.348924462231118,3150,0
21.497498749374692,3155,0
21.646073036518263,3082,0
21.794647323661835,3064,0
21.94322161080541,3099,0
22.091795897948977,2958,0
22.24037018509255,3038,0
22.388944472236123,3003,0
22.537518759379694,3039,0
22.68609304652327,2867,0
22.834667333666836,2948,0
22.98324162081041,2853,0
23.131815907953982,2801,0
23.280390195097553,2756,0
23.428964482241128,2783,0
23.577538769384695,2794,0
23.72611305652827,2737,0
23.87468734367184,2973,0
24.023261630815412,2668,0
24.171835917958987,2722,0
24.320410205102554,2567,0
24.46898449224613,2672,0
24.6175587793897,2692,0
24.76613306653327,2480,0
24.914707353676846,2590,0
25.063281640820414,2627,0
25.211855927963988,2587,0
25.360430215107556,2537,0
25.50900450225113,2441,0
25.657578789394705,2538,0
25.806153076538273,2528,0
25.954727363681847,2488,0
26.103301650825415,2505,0
26.25187593796899,2452,0
26.400450225112564,2403,0
26.549024512256132,2428,0
26.697598799399707,2368,0
26.846173086543274,2441,0
26.99474737368685,2436,0
27.143321660830424,2335,0
27.29189594797399,2406,0
27.440470235117566,2419,0
27.589044522261133,2271,0
27.737618809404708,2391,0
27.886193096548283,2370,0
28.03476738369185,2350,0
28.183341670835425,2298,0
28.331915957978993,2211,0
28.480490245122567,2249,0
28.629064532266142,2319,0
28.77763881940971,2263,0
28.926213106553284,2327,0
29.07478739369685,2262,0
29.223361680840426,2201,0
29.371935967984,2183,0
29.52051025512757,2176,0
29.669084542271143,2216,0
29.81765882941471,2190,0
29.966233116558286,2155,0
30.11480740370186,2215,0
30.263381690845428,2219,0
30.411955977989003,2110,0
30.56053026513257,2200,0
30.709104552276145,2220,0
30.85767883941972,2250,0
31.006253126563287,2237,0
31.15482741370686,2229,0
31.30340170085043,2178,0
31.451975987994004,2193,0
31.60055027513758,2279,0
31.749124562281146,2171,0
31.89769884942472,2142,0
32.04627313656829,2180,0
32.19484742371186,2167,0
32.34342171085544,2220,0
32.49199599799901,2285,0
32.64057028514258,2228,0
32.78914457228615,2212,0
32.93771885942972,2220,0
33.0862931465733,2126,0
33.23486743371687,2256,0
33.38344172086044,2265,0
33.53201600800401,2287,0
33.68059029514758,2232,0
33.829164582291156,2191,0
33.97773886943473,2298,0
34.1263131565783,2229,0
34.274887443721866,2245,0
34.42346173086544,2385,0
34.572036018009015,2318,0
34.72061030515259,2210,0
34.86918459229616,2302,0
35.017758879439725,2262,0
35.1663331665833,2283,0
35.314907453726875,2330,0
35.46348174087044,2136,0
35.61205602801401,2228,0
35.760630315157584,2252,0
35.90920460230116,2197,0
36.057778889444734,2183,0
36.2063531765883,2211,0
36.35492746373187,2181,0
36.503501750875444,2073,0
36.65207603801902,2123,0
36.80065032516259,2138,0
36.94922461230616,2085,0
37.09779889944973,1971,0
37.2463731865933,1925,0
37.39494747373688,1907,0
37.54352176088045,1884,0
37.69209604802402,1791,0
37.84067033516759,1773,0
37.98924462231116,1665,0
38.13781890945474,1635,0
38.28639319659831,1565,0
38.43496748374188,1484,0
38.58354177088545,1574,0
38.73211605802902,1443,0
38.880690345172596,1353,0
39.02926463231617,1234,0
39.17783891945974,1165,0
39.326413206603306,1203,0
39.47498749374688,1135,0
39.623561780890455,1067,0
39.77213606803403,1024,0
39.9207103551776,943,0
40.069284642321165,904,0
40.21785892946474,939,0
40.366433216608314,840,0
40.51500750375189,819,0
40.663581790895456,740,0
40.812156078039024,754,0
40.9607303651826,664,0
41.10930465232617,670,0
41.25787893946975,642,0
41.406453226613316,632,0
41.55502751375688,613,0
41.70360180090046,587,0
41.85217608804403,564,0
42.00075037518761,497,0
42.149324662331175,518,0
42.29789894947474,535,0
42.44647323661832,477,0
42.59504752376189,485,0
42.743621810905466,458,0
42.892196098049034,471,0
43.0407703851926,388,0
43.189344672336176,422,0
43.33791895947975,366,0
43.486493246623326,415,0
43.63506753376689,343,0
43.78364182091046,376,0
43.932216108054035,376,0
44.08079039519761,381,0
44.229364682341185,353,0
44.37793896948475,344,0
44.52651325662832,347,0
44.675087543771895,304,0
44.82366183091547,311,0
44.972236118059044,295,0
45.12081040520261,318,0
45.26938469234618,312,0
45.417958979489754,303,0
45.56653326663333,304,0
45.7151075537769,292,0
45.86368184092047,327,0
46.01225612806404,312,0
46.16083041520761,302,0
46.30940470235119,278,0
46.45797898949476,287,0
46.60655327663833,306,0
46.7551275637819,306,0
46.90370185092547,305,0
47.05227613806905,304,0
47.20085042521262,295,0
47.34942471235619,292,0
47.49799899949976,327,0
47.64657328664333,301,0
47.795147573786906,336,0
47.943721860930474,356,0
48.09229614807405,333,0
48.240870435217616,403,0
48.38944472236119,394,0
48.538019009504765,466,0
48.68659329664833,470,0
48.83516758379191,537,0
48.983741870935475,603,0
49.13231615807905,664,0
49.280890445222624,739,0
49.42946473236619,754,0
49.57803901950977,902,0
49.726613306653334,1066,0
49.87518759379691,1168,0
50.023761880940484,1312,0
50.17233616808405,1497,0
50.320910455227626,1724,0
50.46948474237119,2054,0
50.61805902951477,2216,0
50.76663331665834,2459,0
50.91520760380191,2926,0
51.063781890945485,3252,0
51.21235617808905,3652,0
51.36093046523263,3989,0
51.5095047523762,4494,0
51.65807903951977,5085,0
51.806653326663344,5509,0
51.95522761380691,6200,0
52.10380190095049,6465,0
52.25237618809406,7166,0
52.40095047523763,7646,0
52.5495247623812,8122,0
52.69809904952477,8764,0
52.846673336668346,9419,0
52.99524762381192,9738,0
53.14382191095549,10254,0
53.29239619809906,10654,0
53.44097048524263,10678,0
53.589544772386205,11333,0
53.73811905952978,11417,0
53.88669334667335,11763,0
54.03526763381692,12040,0
54.18384192096049,11906,0
54.332416208104064,11715,0
54.48099049524764,11814,0
54.629564782391206,11486,0
54.77813906953478,11385,0
