pulseheight,counts_ch_A,counts_ch_B
32.93771885942972,74,54
33.0862931465733,78,51
33.23486743371687,84,59
33.38344172086044,65,61
33.53201600800401,79,48
33.68059029514758,67,66
33.829164582291156,85,51
33.97773886943473,84,59
34.1263131565783,79,56
34.274887443721866,87,55
34.42346173086544,80,78
34.572036018009015,81,108
34.72061030515259,84,68
34.86918459229616,90,77
35.017758879439725,86,110
35.1663331665833,89,123
35.314907453726875,86,87
35.46348174087044,89,117
35.61205602801401,92,142
35.760630315157584,112,161
35.90920460230116,112,174
36.057778889444734,145,178
36.2063531765883,145,196
36.35492746373187,154,193
36.503501750875444,145,214
36.65207603801902,195,236
36.80065032516259,180,291
36.94922461230616,251,283
37.09779889944973,264,288
37.2463731865933,290,291
37.39494747373688,286,344
37.54352176088045,385,331
37.69209604802402,400,336
37.84067033516759,422,318
37.98924462231116,475,386
38.13781890945474,486,331
38.28639319659831,585,368
38.43496748374188,595,304
38.58354177088545,714,316
38.73211605802902,667,297
38.880690345172596,726,300
39.02926463231617,724,228
39.17783891945974,788,268
39.326413206603306,755,255
39.47498749374688,857,222
39.623561780890455,762,170
39.77213606803403,847,172
39.9207103551776,734,139
40.069284642321165,817,150
40.21785892946474,744,101
40.366433216608314,781,126
40.51500750375189,686,93
40.663581790895456,665,79
40.812156078039024,603,80
40.9607303651826,610,59
41.10930465232617,517,60
41.25787893946975,503,58
41.406453226613316,441,52
41.55502751375688,419,48
41.70360180090046,351,52
41.85217608804403,277,46
42.00075037518761,265,38
42.149324662331175,231,35
42.29789894947474,186,42
42.44647323661832,177,35
42.59504752376189,175,31
42.743621810905466,150,30
42.892196098049034,120,33
43.0407703851926,116,40
43.189344672336176,114,43
43.33791895947975,66,45
43.486493246623326,79,26
43.63506753376689,74,23
43.78364182091046,62,33
43.932216108054035,60,23
44.08079039519761,56,34
44.229364682341185,42,34
44.37793896948475,56,34
44.52651325662832,57,27
44.675087543771895,54,30
44.82366183091547,30,30
44.972236118059044,59,40
45.12081040520261,43,25
45.26938469234618,38,36
45.417958979489754,44,40
45.56653326663333,44,21
45.7151075537769,34,35
45.86368184092047,42,31
46.01225612806404,47,24
46.16083041520761,53,26
46.30940470235119,46,31
46.45797898949476,38,27
46.60655327663833,49,25
46.7551275637819,51,31
46.90370185092547,42,20
47.05227613806905,37,26
47.20085042521262,46,24
47.34942471235619,36,29
47.49799899949976,48,26
47.64657328664333,53,26
47.795147573786906,38,26
47.943721860930474,38,32
48.09229614807405,40,26
48.240870435217616,38,18
48.38944472236119,45,24
48.538019009504765,36,29
48.68659329664833,43,16
48.83516758379191,28,28
48.983741870935475,39,26
49.13231615807905,38,29
49.280890445222624,29,27
49.42946473236619,26,21
49.57803901950977,47,24
49.726613306653334,37,16
49.87518759379691,29,16
50.023761880940484,43,33
50.17233616808405,41,16
50.320910455227626,34,24
50.46948474237119,48,25
50.61805902951477,35,23
50.76663331665834,45,19
50.91520760380191,32,20
51.063781890945485,31,29
51.21235617808905,37,23
51.36093046523263,42,13
51.5095047523762,42,28
51.65807903951977,38,18
51.806653326663344,37,23
51.95522761380691,35,22
52.10380190095049,39,27
52.25237618809406,43,21
52.40095047523763,30,31
52.5495247623812,26,32
52.69809904952477,38,19
52.846673336668346,35,19
52.99524762381192,38,25
53.14382191095549,35,29
53.29239619809906,25,22
53.44097048524263,36,20
53.589544772386205,35,15
53.73811905952978,41,25
53.88669334667335,25,17
54.03526763381692,35,21
54.18384192096049,32,17
54.332416208104064,28,22
54.48099049524764,37,19
54.629564782391206,33,31
54.77813906953478,40,25
54.92671335667835,30,27
55.07528764382192,28,18
55.2238619309655,41,22
55.372436218109065,38,26
55.52101050525264,41,22
55.66958479239621,23,22
55.81815907953978,30,23
55.96673336668336,39,21
56.115307653826925,36,23
56.2638819409705,29,19
56.41245622811407,40,26
56.56103051525764,32,16
56.709604802401216,45,25
56.858179089544784,21,19
57.00675337668836,30,14
57.155327663831926,30,15
57.3039019509755,40,22
57.452476238119075,31,18
57.60105052526264,33,19
57.74962481240622,39,21
57.898199099549785,35,17
58.04677338669336,36,21
58.195347673836935,45,30
